video_path,action,hip_knee_angle,shoulder_hip_angle,shoulder_angle,elbow_angle,avg_hip_angle,avg_shoulder_angle,avg_knee_angle,score
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101521.mp4,Jump,110.3540689,92.45033552,84.79956555,162.5802287,109.9246757,92.09060659,84.46960615,2
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101610.mp4,Jump,115.8519663,96.89008338,77.50944053,153.7153088,113.8371495,95.20503845,76.16145026,2
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101629.mp4,Jump,116.526075,96.2725756,81.15771716,153.7276915,116.0127443,95.84846733,80.80019417,3
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101648.mp4,Jump,116.7863169,92.98478504,76.15834749,155.1330394,116.3096381,92.6052553,75.84749709,3
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101708.mp4,Jump,113.609924,97.89955089,76.16221415,148.8138417,113.104991,97.46444177,75.82371542,2
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101727.mp4,Jump,109.9262326,90.68449161,70.26362484,158.2017412,108.4861509,89.49648517,69.34314067,2
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101746.mp4,Jump,117.5948374,95.61634951,67.75498601,144.1726217,116.5678083,94.78127222,67.16323941,2
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101805.mp4,Jump,115.2401288,100.0521055,78.58334709,148.3397066,114.7678332,99.64205591,78.26128419,2
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101823.mp4,Jump,114.980823,93.70947397,79.91868389,148.03313,111.2887783,90.70045417,77.35248762,2
E:\course_work\Dissertation\pose_estim\back_004_m01_20230224103052.mp4,None,112.9006109,96.70335821,84.20089961,86.72448106,112.9006109,96.70335821,84.20089961,1
E:\course_work\Dissertation\pose_estim\back_004_m01_20230224103119.mp4,None,110.4150837,93.09181662,85.03461525,87.50589188,110.4150837,93.09181662,85.03461525,1
E:\course_work\Dissertation\pose_estim\back_004_m01_20230224103134.mp4,None,113.8841838,91.43042238,82.3112363,85.74113799,113.0821825,90.78654617,81.7315797,1
E:\course_work\Dissertation\pose_estim\back_004_m01_20230224103150.mp4,None,113.9063437,91.9412311,81.58425083,118.8820608,113.0164504,91.22294023,80.94687387,1
E:\course_work\Dissertation\pose_estim\back_004_m01_20230224103205.mp4,None,117.1043142,91.17710475,85.5042277,140.3906929,117.1043142,91.17710475,85.5042277,1
E:\course_work\Dissertation\pose_estim\back_004_m01_20230224103221.mp4,None,117.7275394,94.17749053,84.1417797,97.5279025,116.9426891,93.5496406,83.5808345,1
E:\course_work\Dissertation\pose_estim\back_004_m01_20230224103238.mp4,None,119.6684685,95.56311856,83.07320662,114.3884083,119.6684685,95.56311856,83.07320662,1
E:\course_work\Dissertation\pose_estim\back_004_m01_20230224103253.mp4,None,116.7525337,88.91215819,85.06055894,123.6450533,116.7525337,88.91215819,85.06055894,1
E:\course_work\Dissertation\pose_estim\back_004_m01_20230224103309.mp4,None,118.2907259,95.11475366,81.59566203,107.6828196,118.2907259,95.11475366,81.59566203,1
E:\course_work\Dissertation\pose_estim\back_004_m02_20230224103351.mp4,Jump,112.8449568,96.13332206,81.75642937,155.4589886,112.221504,95.60219873,81.30473639,2
E:\course_work\Dissertation\pose_estim\back_004_m02_20230224103409.mp4,Jump,108.7373704,94.01859887,80.89853069,151.6375808,107.4031695,92.86499643,79.90591068,2
